EfficientNetB0 | эпоха 085/400 | ошибка_обучения=0.9267 | точность_обучения=0.7124 | ошибка_валидации=1.1494 | точность_валидации=0.6236 | precision=0.6375 | recall=0.5730 | ROC-AUC=0.7420
EfficientNetB0 | эпоха 086/400 | ошибка_обучения=0.9628 | точность_обучения=0.7162 | ошибка_валидации=1.0794 | точность_валидации=0.6798 | precision=0.6778 | recall=0.6854 | ROC-AUC=0.7690
EfficientNetB0 | эпоха 087/400 | ошибка_обучения=0.9404 | точность_обучения=0.7406 | ошибка_валидации=1.0812 | точность_валидации=0.6629 | precision=0.6593 | recall=0.6742 | ROC-AUC=0.7627
EfficientNetB0 | эпоха 088/400 | ошибка_обучения=0.8791 | точность_обучения=0.7086 | ошибка_валидации=1.1385 | точность_валидации=0.6348 | precision=0.6277 | recall=0.6629 | ROC-AUC=0.7484
EfficientNetB0 | эпоха 089/400 | ошибка_обучения=0.8916 | точность_обучения=0.7312 | ошибка_валидации=1.1410 | точность_валидации=0.6629 | precision=0.6883 | recall=0.5955 | ROC-AUC=0.7497
EfficientNetB0 | эпоха 090/400 | ошибка_обучения=1.0200 | точность_обучения=0.7011 | ошибка_валидации=1.1220 | точность_валидации=0.6910 | precision=0.6932 | recall=0.6854 | ROC-AUC=0.7576
EfficientNetB0 | эпоха 091/400 | ошибка_обучения=0.9336 | точность_обучения=0.7030 | ошибка_валидации=1.0758 | точность_валидации=0.6910 | precision=0.7073 | recall=0.6517 | ROC-AUC=0.7654
EfficientNetB0 | эпоха 092/400 | ошибка_обучения=0.9360 | точность_обучения=0.6917 | ошибка_валидации=1.1672 | точность_валидации=0.6629 | precision=0.6747 | recall=0.6292 | ROC-AUC=0.7537
EfficientNetB0 | эпоха 093/400 | ошибка_обучения=0.7531 | точность_обучения=0.7406 | ошибка_валидации=1.0775 | точность_валидации=0.6629 | precision=0.6747 | recall=0.6292 | ROC-AUC=0.7574
EfficientNetB0 | эпоха 094/400 | ошибка_обучения=0.8150 | точность_обучения=0.7368 | ошибка_валидации=1.1824 | точность_валидации=0.6573 | precision=0.6556 | recall=0.6629 | ROC-AUC=0.7497
EfficientNetB0 | эпоха 095/400 | ошибка_обучения=0.8635 | точность_обучения=0.7162 | ошибка_валидации=1.0708 | точность_валидации=0.6629 | precision=0.6559 | recall=0.6854 | ROC-AUC=0.7628
EfficientNetB0 | эпоха 096/400 | ошибка_обучения=0.8142 | точность_обучения=0.7444 | ошибка_валидации=1.0440 | точность_валидации=0.6685 | precision=0.6596 | recall=0.6966 | ROC-AUC=0.7692
EfficientNetB0 | эпоха 097/400 | ошибка_обучения=0.8928 | точность_обучения=0.7086 | ошибка_валидации=1.1498 | точность_валидации=0.6292 | precision=0.6237 | recall=0.6517 | ROC-AUC=0.7454
EfficientNetB0 | эпоха 098/400 | ошибка_обучения=0.9433 | точность_обучения=0.7256 | ошибка_валидации=1.0660 | точность_валидации=0.6573 | precision=0.6628 | recall=0.6404 | ROC-AUC=0.7653
EfficientNetB0 | эпоха 099/400 | ошибка_обучения=0.8430 | точность_обучения=0.7274 | ошибка_валидации=1.1239 | точность_валидации=0.6685 | precision=0.6630 | recall=0.6854 | ROC-AUC=0.7489
EfficientNetB0 | эпоха 100/400 | ошибка_обучения=0.9370 | точность_обучения=0.7218 | ошибка_валидации=1.0757 | точность_валидации=0.6517 | precision=0.6552 | recall=0.6404 | ROC-AUC=0.7640
EfficientNetB0 | эпоха 101/400 | ошибка_обучения=0.8921 | точность_обучения=0.7105 | ошибка_валидации=1.0750 | точность_валидации=0.6629 | precision=0.6747 | recall=0.6292 | ROC-AUC=0.7586
EfficientNetB0 | эпоха 102/400 | ошибка_обучения=0.8986 | точность_обучения=0.7256 | ошибка_валидации=1.1178 | точность_валидации=0.6629 | precision=0.6706 | recall=0.6404 | ROC-AUC=0.7558
EfficientNetB0 | эпоха 103/400 | ошибка_обучения=0.8346 | точность_обучения=0.7180 | ошибка_валидации=1.0481 | точность_валидации=0.6348 | precision=0.6250 | recall=0.6742 | ROC-AUC=0.7662
EfficientNetB0 | эпоха 104/400 | ошибка_обучения=0.8832 | точность_обучения=0.7312 | ошибка_валидации=1.1017 | точность_валидации=0.6404 | precision=0.6404 | recall=0.6404 | ROC-AUC=0.7504
EfficientNetB0 | эпоха 105/400 | ошибка_обучения=0.8077 | точность_обучения=0.7368 | ошибка_валидации=1.0853 | точность_валидации=0.6798 | precision=0.6702 | recall=0.7079 | ROC-AUC=0.7649
EfficientNetB0 | эпоха 106/400 | ошибка_обучения=0.9482 | точность_обучения=0.7124 | ошибка_валидации=1.0889 | точность_валидации=0.6404 | precision=0.6471 | recall=0.6180 | ROC-AUC=0.7541
EfficientNetB0 | эпоха 107/400 | ошибка_обучения=0.8304 | точность_обучения=0.7312 | ошибка_валидации=1.1377 | точность_валидации=0.6685 | precision=0.6829 | recall=0.6292 | ROC-AUC=0.7455
EfficientNetB0 | эпоха 108/400 | ошибка_обучения=0.8170 | точность_обучения=0.7481 | ошибка_валидации=1.0352 | точность_валидации=0.6629 | precision=0.6790 | recall=0.6180 | ROC-AUC=0.7663
EfficientNetB0 | эпоха 109/400 | ошибка_обучения=0.7959 | точность_обучения=0.7350 | ошибка_валидации=1.0458 | точность_валидации=0.6517 | precision=0.6517 | recall=0.6517 | ROC-AUC=0.7638
EfficientNetB0 | эпоха 110/400 | ошибка_обучения=0.7041 | точность_обучения=0.7782 | ошибка_валидации=1.0597 | точность_валидации=0.6742 | precision=0.6782 | recall=0.6629 | ROC-AUC=0.7649
EfficientNetB0 | эпоха 111/400 | ошибка_обучения=0.8448 | точность_обучения=0.7293 | ошибка_валидации=1.0341 | точность_валидации=0.6348 | precision=0.6304 | recall=0.6517 | ROC-AUC=0.7667
EfficientNetB0 | эпоха 112/400 | ошибка_обучения=0.8795 | точность_обучения=0.7049 | ошибка_валидации=1.0751 | точность_валидации=0.6742 | precision=0.6867 | recall=0.6404 | ROC-AUC=0.7568
EfficientNetB0 | эпоха 113/400 | ошибка_обучения=0.8054 | точность_обучения=0.7218 | ошибка_валидации=1.0564 | точность_валидации=0.6742 | precision=0.6824 | recall=0.6517 | ROC-AUC=0.7570
EfficientNetB0 | эпоха 114/400 | ошибка_обучения=0.8019 | точность_обучения=0.7425 | ошибка_валидации=1.0822 | точность_валидации=0.6685 | precision=0.6705 | recall=0.6629 | ROC-AUC=0.7589
EfficientNetB0 | эпоха 115/400 | ошибка_обучения=0.8992 | точность_обучения=0.7331 | ошибка_валидации=1.0509 | точность_валидации=0.6573 | precision=0.6628 | recall=0.6404 | ROC-AUC=0.7704
EfficientNetB0 | эпоха 116/400 | ошибка_обучения=0.6739 | точность_обучения=0.7726 | ошибка_валидации=1.0869 | точность_валидации=0.7022 | precision=0.6875 | recall=0.7416 | ROC-AUC=0.7704
EfficientNetB0 | эпоха 117/400 | ошибка_обучения=0.7255 | точность_обучения=0.7312 | ошибка_валидации=0.9697 | точность_валидации=0.6629 | precision=0.6706 | recall=0.6404 | ROC-AUC=0.7738
EfficientNetB0 | эпоха 118/400 | ошибка_обучения=0.8223 | точность_обучения=0.7350 | ошибка_валидации=1.0029 | точность_валидации=0.6854 | precision=0.6774 | recall=0.7079 | ROC-AUC=0.7830
EfficientNetB0 | эпоха 119/400 | ошибка_обучения=0.8215 | точность_обучения=0.7237 | ошибка_валидации=1.0878 | точность_валидации=0.6742 | precision=0.6867 | recall=0.6404 | ROC-AUC=0.7677
EfficientNetB0 | эпоха 120/400 | ошибка_обучения=0.7842 | точность_обучения=0.7237 | ошибка_валидации=1.0410 | точность_валидации=0.6854 | precision=0.6897 | recall=0.6742 | ROC-AUC=0.7738
EfficientNetB0 | эпоха 121/400 | ошибка_обучения=0.6502 | точность_обучения=0.7613 | ошибка_валидации=1.0606 | точность_валидации=0.6629 | precision=0.6835 | recall=0.6067 | ROC-AUC=0.7580
EfficientNetB0 | эпоха 122/400 | ошибка_обучения=0.7811 | точность_обучения=0.7519 | ошибка_валидации=0.9741 | точность_валидации=0.6742 | precision=0.6742 | recall=0.6742 | ROC-AUC=0.7810
EfficientNetB0 | эпоха 123/400 | ошибка_обучения=0.7807 | точность_обучения=0.7368 | ошибка_валидации=1.0376 | точность_валидации=0.6685 | precision=0.6562 | recall=0.7079 | ROC-AUC=0.7656
EfficientNetB0 | эпоха 124/400 | ошибка_обучения=0.7612 | точность_обучения=0.7274 | ошибка_валидации=1.0612 | точность_валидации=0.6573 | precision=0.6628 | recall=0.6404 | ROC-AUC=0.7719
EfficientNetB0 | эпоха 125/400 | ошибка_обучения=0.7596 | точность_обучения=0.7481 | ошибка_валидации=1.0185 | точность_валидации=0.6854 | precision=0.6813 | recall=0.6966 | ROC-AUC=0.7782
EfficientNetB0 | эпоха 126/400 | ошибка_обучения=0.7451 | точность_обучения=0.7556 | ошибка_валидации=0.9827 | точность_валидации=0.6517 | precision=0.6552 | recall=0.6404 | ROC-AUC=0.7753
EfficientNetB0 | эпоха 127/400 | ошибка_обучения=0.7517 | точность_обучения=0.7406 | ошибка_валидации=1.0470 | точность_валидации=0.6573 | precision=0.6667 | recall=0.6292 | ROC-AUC=0.7633
EfficientNetB0 | эпоха 128/400 | ошибка_обучения=0.7455 | точность_обучения=0.7669 | ошибка_валидации=1.0052 | точность_валидации=0.6517 | precision=0.6517 | recall=0.6517 | ROC-AUC=0.7661
EfficientNetB0 | эпоха 129/400 | ошибка_обучения=0.6920 | точность_обучения=0.7462 | ошибка_валидации=1.0021 | точность_валидации=0.6742 | precision=0.6782 | recall=0.6629 | ROC-AUC=0.7735
EfficientNetB0 | эпоха 130/400 | ошибка_обучения=0.7697 | точность_обучения=0.7500 | ошибка_валидации=0.9740 | точность_валидации=0.6629 | precision=0.6629 | recall=0.6629 | ROC-AUC=0.7729
